stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;tre200mn;tre200mx;ure200m0;sre000m0
SBE;199108;223;0;43;841.9;8.5;14.5;3.4;22.8;65.2;13196
SBE;199109;140;0;68;839.5;438.1;10.8;-0.9;20.9;77.8;8537
SBE;199110;88;0;64;836.0;127.7;3.2;-5.3;15.5;79.8;5913
SBE;199111;67;28;54;832.9;123.6;-1.3;-10.1;10.0;73.9;5305
SBE;199112;58;42;26;840.5;106.9;-3.2;-16.8;9.1;58.5;7290
SBE;199201;71;74;29;842.3;58.6;-1.4;-14.7;10.1;58.9;7940
SBE;199202;110;69;36;839.6;26.2;-1.8;-13.1;9.4;57.7;7845
SBE;199203;152;36;58;832.8;101.6;-0.1;-9.9;10.6;69.9;8184
SBE;199204;181;53;69;831.1;138.2;1.7;-9.7;14.5;74.3;6113
SBE;199205;200;0;63;838.8;108.0;7.9;0.1;19.2;75.4;9014
SBE;199206;191;0;79;835.2;216.2;9.1;0.0;18.2;79.0;6308
SBE;199207;212;0;60;840.6;142.4;13.1;4.6;22.9;74.9;9683
SBE;199208;195;0;51;841.0;241.4;14.5;2.3;24.3;73.2;11379
SBE;199209;133;0;56;841.3;181.3;8.6;0.4;19.8;76.6;7749
SBE;199210;70;1;73;828.9;173.1;2.4;-7.9;12.3;84.4;3617
SBE;199211;62;5;54;836.8;57.1;2.3;-6.6;17.7;68.1;5627
SBE;199212;49;48;40;835.2;112.2;-3.1;-15.0;6.8;74.0;5498
SBE;199301;65;37;34;841.8;6.6;-1.1;-18.0;10.6;65.2;6972
SBE;199302;110;31;31;839.6;27.0;-2.7;-16.7;9.3;58.4;8602
SBE;199303;154;24;59;835.6;30.4;-1.6;-12.4;14.5;66.0;9298
SBE;199304;164;1;70;831.9;97.3;2.7;-5.4;13.6;74.7;6341
SBE;199305;173;0;75;835.6;145.0;7.5;-0.2;19.1;79.1;6947
SBE;199306;210;0;63;838.5;191.1;10.8;2.6;21.0;72.9;8824
SBE;199307;214;0;59;839.9;229.3;11.0;1.2;22.5;73.4;9340
SBE;199308;185;0;55;841.1;182.3;12.5;0.8;23.3;73.3;9650
SBE;199309;99;1;81;835.1;403.2;7.0;-2.0;17.5;83.1;4303
SBE;199310;69;7;71;834.4;578.9;3.0;-6.8;11.1;87.4;3952
